url,titulo
https://www.youtube.com/embed/z4KLGM8p0jg,"CNR Tijuana Casos muy complicados de violencia están llegando a los albergues en Tijuana",Tijuana
https://www.youtube.com/embed/qwfvmOp5Gf4,"CNR Tijuana Se manifiestan en palacio personas de Michoacán",Tijuana
https://www.youtube.com/embed/5I0BH-DT_NQ,"CNR Tijuana Repletos de basura los cajones pluviales en la zona centro",Tijuana
https://www.youtube.com/embed/KBaWxkB6zyM,"CNR Mexicali Lupita mora a favor de La municipalización de los servicios de agua",Tijuana
https://www.youtube.com/embed/iMuII_NaeQM,"CNR Mexicali Aprobaron 8.4 millones de pesos para los trabajos de mejoramiento del puente pando",Mexicali
https://www.youtube.com/embed/IMxUvmn2wAc,"CNR Mexicali aumento de las multas por conducir en estado de ebriedad que aumento",Mexicali
https://www.youtube.com/embed/X2O-hJAly_E,"CNR Mexicali Se revisará si sigue o no el sat bc en la siguiente administración: marina del pilar",Mexicali
https://www.youtube.com/embed/N1oXAQ4W_Fs,"CNR Mexicali Regresan secretarías de seguridad pública, turismo y medio ambiente: marina del pilar",Mexicali
https://www.youtube.com/embed/TncUMcJY5go,"CNR Mexicali No son tiempos de municipalizar los organismos de agua: marina del pilar",Mexicali
https://www.youtube.com/embed/ZkXxQgqNl5g,"CNR Mexicali Se incurre en controversia constitucional si regresan los organismos del agua al estado",Mexicali
https://www.youtube.com/embed/tcZDGFsfgzM,"CNR Mexicali 5% La participación ciudadana en la consulta popular en bc: ine",Mexicali
https://www.youtube.com/embed/_Z-34fZ9ci0,"CNR Mexicali Clausuran restaurante de comida japonesa por denuncias de intoxicaciones: coepris bc",Mexicali
https://www.youtube.com/embed/Axz1Gx9srUU,"CNR Mexicali Sigue abonando el estado al ayuntamiento de Mexicali por el préstamos solicitado",Mexicali
https://www.youtube.com/embed/-A1oumejtr8,"CNR Mexicali Regresa la curul al congreso para el sindicato de burócratas",Mexicali
https://www.youtube.com/embed/Bl9G8-wTTT8,"CNR Mexicali Arranca programa de entrega de doble nacionalidad a estudiantes",Mexicali
https://www.youtube.com/embed/rXJb3zZu2Vs,"CNR Rosarito Este dia arranco la feria 2021 en rosarito",Rosarito
https://www.youtube.com/embed/rRzIXeRTjY8,"CNR Rosarito Turistas quienes acuden a disfrutar de las playas de rosarito se ven",Rosarito
https://www.youtube.com/embed/cq1U23lOy5c,"CNR Rosarito Playas abarrotadas este fin de semana",Rosarito
https://www.youtube.com/embed/IzyzFGYT3nc,"CNR Rosarito Consulta popular con poca presencia",Rosarito
https://www.youtube.com/embed/vuvcxlrRbys,"CNR Rosarito Incrementaron turistas en rosarito",Rosarito
https://www.youtube.com/embed/sA2QYHmVS2c,"CNR Rosarito trafico en rosarito",Rosarito
https://www.youtube.com/embed/afA6pxWBGuM,"CNR Rosarito Agenda de eventos en imac",Rosarito
https://www.youtube.com/embed/ssSY4miviKY,"CNR Rosarito Accidente en los arenales",Rosarito
https://www.youtube.com/embed/rsO9-d2ldGw,"CNR Tecate Lo asesinan al interior de una camioneta",Tecate
https://www.youtube.com/embed/DVB9IXr30L8,"CNR Tecate Profesionales de la salud realizan jornada gratuita",Tecate
https://www.youtube.com/embed/EdR2W8IN4qg,"CNR Tecate Arreglan falla eléctrica en la coyotera",Tecate
https://www.youtube.com/embed/1ik918zfCcY,"CNR Tijuana Una exageración la cantidad de policías que llegaron",Tijuana
https://www.youtube.com/embed/HszM1P1lWuw,"CNR Tijuana Ni el blvd Fundadores se salva de los desperfectos",Tijuana
https://www.youtube.com/embed/h9QoayeNai8,"CNR Tijuana Puentes peatonales utilizados como baños públicos",Tijuana
https://www.youtube.com/embed/Gv6QYwe8pKA,"CNR Tijuana Lamentable escurrimiento de agua potable",Tijuana
https://www.youtube.com/embed/QU_ro4vxyl4,"CNR Tijuana Nadie les ha dicho que viven en una zona de alto riesgo",Tijuana
https://www.youtube.com/embed/jYkmG87mM5Y,"CNR Tijuana Mas de dos semanas sin reparar alcantarilla de aguas negras en Infonavit presidentes",Tijuana
https://www.youtube.com/embed/a1xwkn5qWis,"CNR Tijuana Casas de renta tiran las aguas negras a la calle",Tijuana
https://www.youtube.com/embed/t44n93XJSY0,"CNR Tijuana Cespt deja apertura y nunca volvió a cerrar",Tijuana
https://www.youtube.com/embed/VeLUQTFxLpY,"CNR Tijuana Migración del estado de Michoacán a Tijuana se ha incrementado",Tijuana
https://www.youtube.com/embed/LmP4fS3O3Vk,"CNR Tijuana Confirmado como un evento familiar Este Fest",Tijuana
https://www.youtube.com/embed/47ujSY47gJU,"CNR Mexicali buscan recuperar la tercer curul para el pan en la siguiente legislatura",Mexicali
https://www.youtube.com/embed/t_5WHqzKdQ0,"CNR Mexicali la ley no se consulta es una consulta ilegal",Mexicali
https://www.youtube.com/embed/CItgCkJjTSo,"CNR Mexicali pretenden premiar a los que no lograron repetir como diputados",Mexicali
https://www.youtube.com/embed/LoC18VbjD9o,"CNR Mexicali avanza propuesta para elevar el costo de la cerveza en bares y antros",Mexicali
https://www.youtube.com/embed/nvIUkU8AI5o,"CNR Mexicali se manifiesta el movimiento cannábico frente a oficinas de coepris",Mexicali
https://www.youtube.com/embed/_jQwJezIzXk,"CNR Rosarito Incendio en la Colonia Constitución esquina con Quintanaroo y Veracruz",Rosarito
https://www.youtube.com/embed/_sgjP7hql9k,"CNR Rosarito Imac invita a un evento",Rosarito
https://www.youtube.com/embed/qP8lLQYRLYg,"CNR Rosarito Balean a 3 personas abordo de su vehículo",Rosarito
https://www.youtube.com/embed/_NaTiajQ0NI,"CNR Rosarito vecinos de la calle Mexicali molestos por instalación de unos mariscos",Rosarito
https://www.youtube.com/embed/8OjmvUJNVLQ,"CNR Rosarito escuela primaria vandalizada con grafitis",Rosarito
https://www.youtube.com/embedBGlcF_KgBBw/,"CNR Rosarito robo de cableado",Rosarito
https://www.youtube.com/embed/R3fZ3i2bEag,"CNR Rosarito Basurero utilizado cómo picadero",Rosarito
https://www.youtube.com/embed/vvoOQiduz1k,"CNR Rosarito basura y aguas negras terminan en el mar",Rosarito
https://www.youtube.com/embed/KcWmNP-wbEo,"CNR Rosarito incremento vandalismo en colonia constitución",Rosarito
https://www.youtube.com/embed/r8R7rcVINf4,"CNR Tecate Niños usan fuente como alberca",Tecate
https://www.youtube.com/embed/iqSO02CIOiI,"CNR Tecate En aumento la violencia en la ciudad",Tecate
https://www.youtube.com/embed/f2R3ZVoj6_8,"CNR Tecate vecinos de la calle césar chávez denuncian obra inconclusa",Tecate
https://www.youtube.com/embed/ZboDtV3aP-I,"CNR Tijuana Largas filas para ser atendidos",Tijuana
